Битола	Уп I бр.29-753/15	"ДПТУ ""КАРАЧИ увоз-извоз с.Сопотница Демир Хисар ДООЕЛ""с. Сопотница Демир Хисар"	(41.0316005, 21.3302511)	41.0316005	21.3302511
Скопје	Уп I бр.29-1054/15	"ДПТУ МОТОР ОИЛ ДООЕЛ Скопје Подружница КУВИН ВИНАРИЈА Скопје"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Скопје	Уп I бр.16-1029/16	ДУТУ Еуромац Хотели увоз-извоз ДООЕЛ Скопје	(46.3144754, 11.0480288)	46.3144754	11.0480288
Струмица	08-5873/3	ДППТ"ДАЛВИНА"-ДООЕЛ	(41.4392045, 22.6397203)	41.4392045	22.6397203
Струмица	08-5978/2	АД" СТРУМИЧКО ПОЛЕ"	(46.3144754, 11.0480288)	46.3144754	11.0480288
Струга	08-5819/2	ДПТУ„КМ - Вин Винарија ДООЕЛ„ с.Вевчани Вевчани	(41.1770278, 20.6790586)	41.1770278	20.6790586
Штип	08-5797/2	"ИМАКО ВИНО"ДООЕЛ	(41.7374724, 22.1935856)	41.7374724	22.1935856
Штип	Уп I бр.29-901/15	Винарска визба Имако Вино Ексклузив ДОО увоз-извоз Штип	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	"08-5641/2 Уп I бр.29-1361/15 Уп I бр.16-1292/17"	ДПТП"Аневски Винерија" ДООЕЛ	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	29-8004/4	ДПТУ Еко-Биофорум ДОО Штип подружница винарска визба ДИОН	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	29-6994/2	ДПТУ"ЕЗИМИТ ВИНО "-ДОО	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип	29-3248/2	ДПТ"ЕЗИМИТ ГРУП" ДООЕЛ увоз-извоз	(46.3144754, 11.0480288)	46.3144754	11.0480288
Штип		"ДПТ""ЕЗИМИТ ГРУП"" ДООЕЛ увоз-извоз Штип Подружница Лозово"	(46.3144754, 11.0480288)	46.3144754	11.0480288



